rank,word,count
310,human-centric cross-embodiment,2
311,open-source,2
312,octo open-source,2
313,open-source generalist,2
314,umi,2
315,rdt2 exploring,2
316,exploring scaling,2
317,scaling limit,2
318,limit umi,2
319,umi data,2
320,data zero-shot,2
321,pre-training,2
322,x-vla generalist,2
323,generalist agent,2
324,agent cross-embodiment,2
325,cross-embodiment pre-training,2
326,gr00t open,2
327,open foundation,2
328,foundation generalist,2
329,gemini,2
330,robotics bringing,2
331,bringing physical,2
332,physical world,2
333,enables,2
334,h-zero cross-humanoid,2
335,locomotion pretraining,2
336,pretraining enables,2
337,enables few-shot,2
338,few-shot transfer,2
339,whole-body cross-humanoid,2
340,any2any cross-embodiment,2
341,transfer whole-body,2
342,whole-body tracking,2
343,policy worlds,2
344,worlds scalable,2
345,scalable unified,2
346,policy versatile,2
347,versatile locomotion,2
348,morphologies,2
349,get morphologies,2
350,morphologies zero-shot,2
351,zero-shot recovery,2
352,recovery unified,2
353,long-context,2
354,locoformer generalist,2
355,generalist omni-bodied,2
356,omni-bodied locomotion,2
357,locomotion long-context,2
358,long-context adaptation,2
359,xirl cross-embodiment,2
360,cross-embodiment inverse,2
361,inverse reinforcement,2
362,xskill skill,2
363,skill discovery,2
364,imitating,2
365,uniskill imitating,2
366,imitating human,2
367,videos cross-embodiment,2
368,cross-embodiment skill,2
369,skill representations,2
370,retrieval execution,2
371,execution everyday,2
372,everyday human,2
373,transfer decomposed,2
374,decomposed adversarial,2
375,adversarial demonstration,2
376,whirl imitate,2
377,imitate human,2
378,videos wild,2
379,exoskeleton,2
380,humanoidexo scalable,2
381,whole-body manipulation,2
382,manipulation wearable,2
383,wearable exoskeleton,2
384,skills,2
385,humanx agile,2
386,agile generalizable,2
387,generalizable interaction,2
388,interaction skills,2
389,skills human,2
390,zerowbc natural,2
391,natural visuomotor,2
392,visuomotor directly,2
393,directly human,2
394,human egocentric,2
395,humanplus shadowing,2
396,shadowing imitation,2
397,imitation humans,2
398,universal,2
399,human-to-humanoid,2
400,omnih2o universal,2
401,universal dexterous,2
402,dexterous human-to-humanoid,2
403,human-to-humanoid whole-body,2
404,controller,2
405,hugwbc unified,2
406,unified whole-body,2
407,promptable,2
408,bfm-zero promptable,2
409,promptable behavioral,2
410,behavioral foundation,2
411,foundation unsupervised,2
412,unsupervised reinforcement,2
413,reinforcement versatile,2
414,versatile dynamic,2
415,dynamic robust,2
416,robust bipedal,2
417,bipedal locomotion,2
418,phuma physically-grounded,2
419,physically-grounded locomotion,2
420,locomotion dataset,2
421,simulation,2
422,x-sim cross-embodiment,2
423,cross-embodiment object-centric,2
